Loan_ID,Loan_Status
LP001015,1
LP001022,1
LP001031,1
LP001035,0
LP001051,1
LP001054,1
LP001055,1
LP001056,0
LP001059,1
LP001067,1
LP001078,1
LP001082,1
LP001083,0
LP001094,0
LP001096,1
LP001099,1
LP001105,1
LP001107,1
LP001108,1
LP001115,1
LP001121,1
LP001124,1
LP001128,1
LP001135,1
LP001149,1
LP001153,0
LP001163,0
LP001169,1
LP001174,0
LP001176,1
LP001177,1
LP001183,1
LP001185,1
LP001187,1
LP001190,1
LP001203,0
LP001208,1
LP001210,1
LP001211,1
LP001219,1
LP001220,1
LP001221,1
LP001226,1
LP001230,1
LP001231,1
LP001232,0
LP001237,1
LP001242,1
LP001268,1
LP001270,1
LP001284,1
LP001287,1
LP001291,1
LP001298,1
LP001312,1
LP001313,0
LP001317,1
LP001321,1
LP001323,0
LP001324,1
LP001332,1
LP001335,1
LP001338,1
LP001347,0
LP001348,1
LP001351,1
LP001352,0
LP001358,0
LP001359,1
LP001361,0
LP001366,1
LP001368,1
LP001375,1
LP001380,1
LP001386,1
LP001400,1
LP001407,1
LP001413,1
LP001415,1
LP001419,1
LP001420,0
LP001428,1
LP001445,0
LP001446,1
LP001450,0
LP001452,1
LP001455,1
LP001466,1
LP001471,1
LP001472,1
LP001475,0
LP001483,1
LP001486,1
LP001490,1
LP001496,0
LP001499,1
LP001500,1
LP001501,1
LP001517,1
LP001527,0
LP001534,1
LP001542,0
LP001547,1
LP001548,1
LP001558,0
LP001561,1
LP001563,0
LP001567,1
LP001568,1
LP001573,1
LP001584,1
LP001587,1
LP001589,1
LP001591,1
LP001599,1
LP001601,0
LP001607,1
LP001611,0
LP001613,0
LP001622,0
LP001627,1
LP001650,1
LP001651,1
LP001652,0
LP001655,0
LP001660,1
LP001662,0
LP001663,1
LP001667,1
LP001695,1
LP001703,1
LP001718,1
LP001728,1
LP001735,1
LP001737,1
LP001739,1
LP001742,1
LP001757,1
LP001769,1
LP001771,0
LP001785,0
LP001787,1
LP001789,0
LP001791,0
LP001794,1
LP001797,1
LP001815,1
LP001817,0
LP001818,1
LP001822,1
LP001827,1
LP001831,1
LP001842,1
LP001853,0
LP001855,1
LP001857,1
LP001862,1
LP001867,1
LP001878,1
LP001881,1
LP001886,1
LP001906,0
LP001909,1
LP001911,1
LP001921,0
LP001923,0
LP001933,0
LP001943,1
LP001950,0
LP001959,1
LP001961,1
LP001973,1
LP001975,1
LP001979,0
LP001995,0
LP001999,1
LP002007,1
LP002009,0
LP002016,1
LP002017,0
LP002018,1
LP002027,1
LP002028,1
LP002042,1
LP002045,1
LP002046,0
LP002047,1
LP002056,1
LP002057,1
LP002059,1
LP002062,1
LP002064,1
LP002069,0
LP002070,0
LP002077,1
LP002083,1
LP002090,0
LP002096,1
LP002099,0
LP002102,1
LP002105,1
LP002107,1
LP002111,0
LP002117,1
LP002118,1
LP002123,1
LP002125,1
LP002148,1
LP002152,1
LP002165,1
LP002167,1
LP002168,0
LP002172,1
LP002176,1
LP002183,1
LP002184,1
LP002186,1
LP002192,1
LP002195,1
LP002208,1
LP002212,0
LP002240,1
LP002245,1
LP002253,1
LP002256,0
LP002257,1
LP002264,1
LP002270,1
LP002279,1
LP002286,0
LP002294,1
LP002298,1
LP002306,1
LP002310,1
LP002311,1
LP002316,0
LP002321,0
LP002325,1
LP002326,1
LP002329,1
LP002333,1
LP002339,0
LP002344,1
LP002346,0
LP002354,1
LP002355,0
LP002358,1
LP002360,1
LP002375,1
LP002376,1
LP002383,0
LP002385,1
LP002389,1
LP002394,1
LP002397,1
LP002399,0
LP002400,1
LP002402,1
LP002412,1
LP002415,0
LP002417,1
LP002420,1
LP002425,0
LP002433,1
LP002440,1
LP002441,0
LP002442,0
LP002445,1
LP002450,0
LP002471,1
LP002476,1
LP002482,1
LP002485,1
LP002495,0
LP002496,0
LP002523,1
LP002542,1
LP002550,1
LP002551,0
LP002553,1
LP002554,1
LP002561,1
LP002566,0
LP002568,1
LP002570,1
LP002572,1
LP002581,0
LP002584,1
LP002592,1
LP002593,1
LP002599,1
LP002604,1
LP002605,1
LP002609,0
LP002610,1
LP002612,1
LP002614,1
LP002630,1
LP002635,1
LP002639,1
LP002644,1
LP002651,0
LP002654,1
LP002657,1
LP002711,1
LP002712,0
LP002721,1
LP002735,1
LP002744,1
LP002745,1
LP002746,1
LP002747,0
LP002754,1
LP002759,1
LP002760,1
LP002766,1
LP002769,1
LP002774,0
LP002775,1
LP002781,1
LP002782,1
LP002786,1
LP002790,1
LP002791,1
LP002793,1
LP002802,0
LP002803,1
LP002805,1
LP002806,1
LP002816,0
LP002823,1
LP002825,1
LP002826,1
LP002843,1
LP002849,1
LP002850,1
LP002853,0
LP002856,1
LP002857,1
LP002858,0
LP002860,1
LP002867,1
LP002869,1
LP002870,1
LP002876,1
LP002878,1
LP002879,0
LP002885,1
LP002890,1
LP002891,1
LP002899,1
LP002901,0
LP002907,1
LP002920,1
LP002921,0
LP002932,1
LP002935,1
LP002952,1
LP002954,0
LP002962,1
LP002965,0
LP002969,1
LP002971,1
LP002975,1
LP002980,0
LP002986,1
LP002989,1
